,DestRaw,Dest
0,NEW YORK,NEW YORK
1,NEW-ORLEANS-LA,"NEWORLEANS, LA"
2,NEW-ORLEANS,"NEW ORLEANS, LA"
3,USA,USA
4,PHILADELPHIA,"PHILADELPHIA, PA"
5,BOSTON,"BOSTON, MA"
6,CHICAGO,"CHICAGO, IL"
7,KANSAS,KANSAS
8,NEW ORLEANS,"NEW ORLEANS, LA"
9,TEXAS,TEXAS
10,SAN FRANCISCO,"SAN FRANCISCO, CA"
11,BUFFALO,"BUFFALO, NY"
12,ALABAMA,ALABAMA
13,NEW YROK,NEW YORK
14,SAN LOUIS,SAN LOUIS
15,LOUISIANA,LOUISIANA
16,PITTSBURG PA,"PITTSBURG, PA"
17,BUFFALO NY,"BUFFALO, NY"
18,CHICAGO IL,"CHICAGO, IL"
19,WESTERLEY RI,"WESTERLEY, RI"
20,BROOKLYN,"BROOKLYN, NY"
21,HOUSTON-TX,"HOUSTON, TX"
22,ELEONORE-PA,"ELEONORE, PA"
23,BROOKLYN NY,"BROOKLYN, NY"
24,MINNEAPOLIS,"MINNEAPOLIS, MN"
25,BOSTON-MA,"BOSTON, MA"
26,PITTSBURG,"PITTSBURG, PA"
27,ALTONA,ALTONA
28,ROCHESTER,"ROCHESTER, NY"
29,ROCHESTER-NY,"ROCHESTER, NY"
30,NORRISTOWN,NORRISTOWN
31,NEW ORLEANS LA,"NEW ORLEANS, LA"
32,SAVANNAH GA.,"SAVANNAH, GA"
33,BUFALO,"BUFFALO, NY"
34,SERANTON PA,"SERANTON, PA"
35,NEW-YORK,NEW YORK
36,DELANCY-PA,"DELANCY, PA"
37,SAINT LOUIS MO,"SAINT LOUIS, MO"
38,ST LOUIS MA,ST LOUIS MA
39,MT,MT
40,BUFFALO-NY,"BUFFALO, NY"
41,ROCKLAND,ROCKLAND
42,BRYAN-TX,"BRYAN, TX"
43,BOSTON MA,"BOSTON, MA"
44,BALTIMORE,"BALTIMORE, MD"
45,BRIAN-TX,"BRIAN, TX"
46,N.ORLEANS,"NEW ORLEANS, LA"
47,PHILADELPHIA PA,"PHILADELPHIA, PA"
48,KANSAS CITY KS,"KANSAS CITY, KS"
49,PROVIDENCE RI,"PROVIDENCE, RI"
50,CAN,CANADA
51,ST. LOUIS MO.,"ST. LOUIS, MO"
52,CALIFORNIA,CALIFORNIA
53,NEW ARK NJ,"NEW ARK, NJ"
54,AUSINIA,AUSINIA
55,NEWHAVEN,"NEW HAVEN, CT"
56,SAN-FRANCISCO,"SAN FRANCISCO, CA"
57,PROVIDENCE,"PROVIDENCE, RI"
58,TRINIDAD CO,"TRINIDAD, CO"
59,ELEONOR-PA,"ELEONOR, PA"
60,KOBOKEN,KOBOKEN
61,PASSAIC NJ,"PASSAIC, NJ"
62,PHILADELPHIA-PA,"PHILADELPHIA, PA"
63,MIDDLETOWN,MIDDLETOWN
64,PA,PA
65,PHILA,"PHILADELPHIA, PA"
66,LAKE CHARLES LA,"LAKE CHARLES, LA"
67,DUNKIRK NJ,"DUNKIRK, NJ"
68,SYRACUSE,"SYRACUSE, NY"
69,SYRACUSO NY,"SYRACUSE, NY"
70,BRYAN TX,"BRYAN, TX"
71,CHICAGO-IL,"CHICAGO, IL"
72,COLORADO,COLORADO
73,ANSONIA-CT,"ANSONIA, CT"
74,SCRANTON PA,"SCRANTON, PA"
75,DETROIT MI,"DETROIT, MI"
76,PROVVIDENCE,"PROVIDENCE, RI"
77,NEW YORKLEROY-NY,"NEW YORKLEROY, NY"
78,DELANGE,DELANGE
79,IRON-MOUNTAIN,IRON-MOUNTAIN
80,MAFIELD,MAFIELD
81,PENNSYLVANIA,PENNSYLVANIA
82,LAURENCE MA,"LAURENCE, MA"
83,FL,FL
84,TRINIDAD-CO,"TRINIDAD, CO"
85,NEWARK NJ,"NEWARK, NJ"
86,SYRACUSE NY,"SYRACUSE, NY"
87,PHILADELPHIA PA.,"PHILADELPHIA, PA"
88,JERSEY CITY,"JERSEY CITY, NJ"
89,S.LOUIS,"ST. LOUIS, MO"
90,ROCK GLEN WY,"ROCK GLEN, WY"
91,ST.LOUIS,"ST. LOUIS, MO"
92,NEW-HAVEN,"NEW HAVEN, CT"
93,ERIE,ERIE
94,SIRACUSA NY,"SYRACUSE, NY"
95,JEFFERSON,JEFFERSON
96,"BROOKLYN, NY","BROOKLYN, NY"
97,MIDDLETOWN-CT,"MIDDLETOWN, CT"
98,HARTFORD CT,"HARTFORD, CT"
99,SAN FRANCISCO CA,"SAN FRANCISCO, CA"
100,HOBOKEN NJ,"HOBOKEN, NJ"
101,OREGON,OREGON
102,W.HOBOKEN NJ,"W. HOBOKEN, NJ"
103,BROOKLYN-NY,"BROOKLYN, NY"
104,LEROY,LEROY
105,BALTIMORE MD,"BALTIMORE, MD"
106,CHARLESTON,"CHARLESTON, SC"
107,PLYMONTH MA,"PLYMONTH, MA"
108,NW YORK,NEW YORK
109,NORRISTOWN PA,"NORRISTOWN, PA"
110,LONDON,LONDON
111,ATLANTIC CITY NJ,"ATLANTIC CITY, NJ"
112,SIRACUSA,SIRACUSA
113,ALBANY-NY,"ALBANY, NY"
114,JOHNSTOWN,JOHNSTOWN
115,TACOMA WA,"TACOMA, WA"
116,NEW BRITAIN CT,"NEW BRITAIN, CT"
117,PATTERSON,PATTERSON
118,OH,OH
119,CORNIGAN,CORNIGAN
120,BEGGIO,BEGGIO
121,READING,READING
122,"MIDDLETON, CT","MIDDLETON, CT"
123,OHIO,OHIO
124,KANSAS CITY,KANSAS CITY
125,NEW-JERSEY,NEW JERSEY
126,DENVER COL.,"DENVER, CO"
127,N.ORLEANS-LA,"NEW ORLEANS, LA"
128,"BALTIMORE, MD","BALTIMORE, MD"
129,RICHMOND,RICHMOND
130,LOUISVILLE,"LOUISVILLE, KY"
131,ELISABETH NJ,"ELISABETH, NJ"
132,ELIZABETH,ELIZABETH
133,DETROIT,"DETROIT, MI"
134,KANSAS-CITY,KANSAS CITY
135,AMSTERDAM,AMSTERDAM
136,NEWARK,NEWARK
137,SAN-FRANCISCO-CA,"SAN FRANCISCO, CA"
138,S FRANCISCO CAL,"SAN FRANCISCO, CA"
139,BRIAN TEXAS,"BRIAN, TEXAS"
140,JOUNGSTOWN-PA,"JOUNGSTOWN, PA"
141,CLEARFIELD CT,"CLEARFIELD, CT"
142,FLORIDA,FLORIDA
143,ROCHESTER NY,"ROCHESTER, NY"
144,PITSBURGH,"PITSBURGH, PA"
145,MURPHYSBORO IL,"MURPHYSBORO, IL"
146,PITTSBURGH,"PITTSBURGH, PA"
147,PITTSTON,PITTSTON
