,0
0,"[40.7127753, -74.0059728]"
1,"[29.95106579999999, -90.0715323]"
2,"[37.09024, -95.712891]"
3,"[39.9525839, -75.1652215]"
4,"[42.3600825, -71.0588801]"
5,"[41.8781136, -87.6297982]"
6,"[39.011902, -98.4842465]"
7,"[31.9685988, -99.9018131]"
8,"[37.7749295, -122.4194155]"
9,"[42.88644679999999, -78.8783689]"
10,"[32.3182314, -86.902298]"
11,"[38.6270025, -90.19940419999999]"
12,"[30.9842977, -91.96233269999999]"
13,"[40.44062479999999, -79.9958864]"
14,"[41.3775987, -71.82728709999999]"
15,"[40.6781784, -73.9441579]"
16,"[29.7604267, -95.3698028]"
17,"[40.2006537, -74.8265371]"
18,"[44.977753, -93.2650108]"
19,"[40.13339999999999, -105.282494]"
20,"[43.15657789999999, -77.6088465]"
21,"[40.121497, -75.3399048]"
22,"[32.0808989, -81.091203]"
23,"[41.408969, -75.66241219999999]"
24,"[40.9865811, -78.96023199999999]"
25,"[46.8796822, -110.3625658]"
26,"[42.1306563, -70.9161551]"
27,"[30.6743643, -96.3699632]"
28,"[39.2903848, -76.6121893]"
29,"[39.11553139999999, -94.62678729999999]"
30,"[41.8239891, -71.4128343]"
31,"[56.130366, -106.346771]"
32,"[36.778261, -119.4179324]"
33,"[40.735657, -74.1723667]"
34,"[41.34620779999999, -73.07899689999999]"
35,"[41.308274, -72.9278835]"
36,"[37.1694632, -104.5005407]"
37,"[40.7439905, -74.0323626]"
38,"[40.8567662, -74.1284764]"
39,"[41.5623209, -72.6506488]"
40,"[41.2033216, -77.1945247]"
41,"[30.2265949, -93.2173758]"
42,"[42.4795019, -79.3339324]"
43,"[43.0481221, -76.14742439999999]"
44,"[39.5500507, -105.7820674]"
45,"[42.331427, -83.0457538]"
46,"[42.9783944, -77.9841776]"
47,"[42.7070354, -71.1631137]"
48,"[27.6648274, -81.5157535]"
49,"[40.7177545, -74.0431435]"
50,"[42.685895, -78.11889839999999]"
51,"[42.12922409999999, -80.085059]"
52,"[41.0029893, -74.5580454]"
53,"[41.7658043, -72.6733723]"
54,"[43.8041334, -120.5542012]"
