,Unnamed: 0,origin_city,origin_country,geocoder_results,origin_lon,origin_lat
0,0,SCIACCA,ITALY,"<[OK] Google - Geocode [92019 Sciacca, AG, Italy]>",13.0816305,37.5085148
1,1,PALERMO,ITALY,"<[OK] Google - Geocode [Palermo, Province of Palermo, Italy]>",13.3614868,38.11569
2,2,MESSINA,ITALY,"<[OK] Google - Geocode [Messina, Province of Messina, Italy]>",15.5542057,38.1937335
3,3,POGGIOREALE,ITALY,"<[OK] Google - Geocode [91020 Poggioreale, Province of Trapani, Italy]>",13.0349738,37.7631772
4,4,SALAPARUTA,ITALY,"<[OK] Google - Geocode [91020 Salaparuta, Province of Trapani, Italy]>",13.0105256,37.7585544
5,5,CACCAMO,ITALY,"<[OK] Google - Geocode [90012 Caccamo, Province of Palermo, Italy]>",13.6652138,37.9313776
6,6,USTICA,ITALY,"<[OK] Google - Geocode [Ustica, Italy]>",13.1682675,38.7031179
7,7,MENFI,ITALY,"<[OK] Google - Geocode [92013 Menfi, AG, Italy]>",12.9665821,37.6198182
8,8,ALIA,ITALY,"<[OK] Google - Geocode [90021 Alia, Province of Palermo, Italy]>",13.7136622,37.7820261
9,9,CORLEONE,ITALY,"<[OK] Google - Geocode [90034 Corleone, Province of Palermo, Italy]>",13.298785,37.8138168
10,10,GODRANO,ITALY,"<[OK] Google - Geocode [90030 Godrano, Province of Palermo, Italy]>",13.4275246,37.9036946
11,11,ROCCAMENA,ITALY,"<[OK] Google - Geocode [90040 Roccamena, Province of Palermo, Italy]>",13.1556125,37.8398407
12,12,BISACQUINO,ITALY,"<[OK] Google - Geocode [90032 Bisacquino, Province of Palermo, Italy]>",13.2591456,37.7056085
13,13,CIMINNA,ITALY,"<[OK] Google - Geocode [90023 Ciminna, Province of Palermo, Italy]>",13.5602194,37.8964116
14,14,NICOSIA,ITALY,"<[OK] Google - Geocode [94014 Nicosia, Province of Enna, Italy]>",14.3952782,37.7469231
15,15,MEZZOJUSO,ITALY,"<[OK] Google - Geocode [90030 Mezzojuso, Province of Palermo, Italy]>",13.4687186,37.8630429
16,16,PARTANNA,ITALY,"<[OK] Google - Geocode [91028 Partanna, Province of Trapani, Italy]>",12.8871626,37.724838
17,17,VICARI,ITALY,"<[OK] Google - Geocode [90020 Vicari, Province of Palermo, Italy]>",13.5705866,37.8261716
18,18,TRABIA,ITALY,"<[OK] Google - Geocode [90019 Trabia, Province of Palermo, Italy]>",13.6461308,38.0006815
19,19,CINISI,ITALY,"<[OK] Google - Geocode [90045 Cinisi, Province of Palermo, Italy]>",13.1088097,38.155087
20,20,PRIZZI,ITALY,"<[OK] Google - Geocode [90038 Prizzi, Province of Palermo, Italy]>",13.42825,37.7221352
