Number,CityTownofLastResidence,DestinationCityTown,Province,ShipName,Port,Arrival,lat,lng
0,SCIACCA,NEW YORK,Agrigento,EMS,NAPLES,12/29/1892,40.7127753,-74.0059728
1,SCIACCA,NEW YORK,Agrigento,EMS,NAPLES,12/29/1892,40.7127753,-74.0059728
2,SCIACCA,NEW YORK,Agrigento,EMS,NAPLES,12/29/1892,40.7127753,-74.0059728
3,SCIACCA,NEW YORK,Agrigento,EMS,NAPLES,12/29/1892,40.7127753,-74.0059728
4,SCIACCA,NEW YORK,Agrigento,EMS,NAPLES,12/29/1892,40.7127753,-74.0059728
5,PALERMO,NEW YORK,Palermo,GOTTARDO,ANTWERP,11/30/1884,40.7127753,-74.0059728
6,PALERMO,NEW YORK,Palermo,GOTTARDO,ANTWERP,11/30/1884,40.7127753,-74.0059728
7,MESSINA,NEW YORK,Messina,ALESIA,MESSINA & NAPLES,04/25/1885,40.7127753,-74.0059728
8,PALERMO,NEW YORK,Palermo,GOTTARDO,ANTWERP,11/30/1884,40.7127753,-74.0059728
9,MESSINA,NEW YORK,Messina,ALESIA,MESSINA & NAPLES,04/25/1885,40.7127753,-74.0059728
10,MESSINA,NEW YORK,Messina,ALESIA,MESSINA & NAPLES,04/25/1885,40.7127753,-74.0059728
11,PALERMO,NEW YORK,Palermo,GOTTARDO,ANTWERP,11/30/1884,40.7127753,-74.0059728
12,PALERMO,NEW YORK,Palermo,GOTTARDO,ANTWERP,11/30/1884,40.7127753,-74.0059728
13,MESSINA,NEW YORK,Messina,ALESIA,MESSINA & NAPLES,04/25/1885,40.7127753,-74.0059728
14,MESSINA,NEW YORK,Messina,ALESIA,MESSINA & NAPLES,04/25/1885,40.7127753,-74.0059728
15,PALERMO,NEW YORK,Palermo,LETIMBRO,PALERMO,12/03/1888,40.7127753,-74.0059728
16,PALERMO,NEW YORK,Palermo,LETIMBRO,PALERMO,12/03/1888,40.7127753,-74.0059728
17,PALERMO,NEW YORK,Palermo,LETIMBRO,PALERMO,12/03/1888,40.7127753,-74.0059728
18,PALERMO,NEW YORK,Palermo,LETIMBRO,PALERMO,12/03/1888,40.7127753,-74.0059728
19,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
20,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
21,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
22,PALERMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
23,MESSINA,NEW YORK,Messina,EGADI,PALERMO,08/07/1880,40.7127753,-74.0059728
24,SALAPARUTA,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
25,CACCAMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
26,CACCAMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
27,USTICA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
28,MENFI,NEW-ORLEANS-LA,Agrigento,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
29,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
30,CORLEONE,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
31,GODRANO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
32,MESSINA,NEW YORK,Messina,EGADI,PALERMO,08/07/1880,40.7127753,-74.0059728
