DestRaw,Dest
NEW YORK,NEW YORK
NEW-ORLEANS-LA,"NEW ORLEANS, LA"
NEW-ORLEANS,"NEW ORLEANS, LA"
USA,USA
PHILADELPHIA,"PHILADELPHIA, PA"
BOSTON,"BOSTON, MA"
CHICAGO,"CHICAGO, IL"
KANSAS,KANSAS
NEW ORLEANS,"NEW ORLEANS, LA"
TEXAS,TEXAS
SAN FRANCISCO,"SAN FRANCISCO, CA"
BUFFALO,"BUFFALO, NY"
ALABAMA,ALABAMA
NEW YROK,NEW YORK
SAN LOUIS,"SAINT LOUIS, MO"
LOUISIANA,LOUISIANA
PITTSBURG PA,"PITTSBURG, PA"
BUFFALO NY,"BUFFALO, NY"
CHICAGO IL,"CHICAGO, IL"
WESTERLEY RI,"WESTERLY, RI"
BROOKLYN,"BROOKLYN, NY"
HOUSTON-TX,"HOUSTON, TX"
ELEONORE-PA,"ELEANOR, PA"
BROOKLYN NY,"BROOKLYN, NY"
MINNEAPOLIS,"MINNEAPOLIS, MN"
BOSTON-MA,"BOSTON, MA"
PITTSBURG,"PITTSBURG, PA"
ALTONA,ALTONA
ROCHESTER,"ROCHESTER, NY"
ROCHESTER-NY,"ROCHESTER, NY"
NORRISTOWN,NORRISTOWN
NEW ORLEANS LA,"NEW ORLEANS, LA"
SAVANNAH GA.,"SAVANNAH, GA"
BUFALO,"BUFFALO, NY"
SERANTON PA,"SERANTON, PA"
NEW-YORK,NEW YORK
DELANCY-PA,"DELANCY, PA"
SAINT LOUIS MO,"SAINT LOUIS, MO"
ST LOUIS MA,ST LOUIS MA
MT,MT
BUFFALO-NY,"BUFFALO, NY"
ROCKLAND,ROCKLAND
BRYAN-TX,"BRYAN, TX"
BOSTON MA,"BOSTON, MA"
BALTIMORE,"BALTIMORE, MD"
BRIAN-TX,"BRIAN, TX"
N.ORLEANS,"NEW ORLEANS, LA"
PHILADELPHIA PA,"PHILADELPHIA, PA"
KANSAS CITY KS,"KANSAS CITY, KS"
PROVIDENCE RI,"PROVIDENCE, RI"
CAN,CANADA
ST. LOUIS MO.,"ST. LOUIS, MO"
CALIFORNIA,CALIFORNIA
NEW ARK NJ,"NEW ARK, NJ"
AUSINIA,AUSINIA
NEWHAVEN,"NEW HAVEN, CT"
SAN-FRANCISCO,"SAN FRANCISCO, CA"
PROVIDENCE,"PROVIDENCE, RI"
TRINIDAD CO,"TRINIDAD, CO"
ELEONOR-PA,"ELEANOR, PA"
KOBOKEN,KOBOKEN
PASSAIC NJ,"PASSAIC, NJ"
PHILADELPHIA-PA,"PHILADELPHIA, PA"
MIDDLETOWN,MIDDLETOWN
PA,PA
PHILA,"PHILADELPHIA, PA"
LAKE CHARLES LA,"LAKE CHARLES, LA"
DUNKIRK NJ,"DUNKIRK, NJ"
SYRACUSE,"SYRACUSE, NY"
SYRACUSO NY,"SYRACUSE, NY"
BRYAN TX,"BRYAN, TX"
CHICAGO-IL,"CHICAGO, IL"
COLORADO,COLORADO
ANSONIA-CT,"ANSONIA, CT"
SCRANTON PA,"SCRANTON, PA"
DETROIT MI,"DETROIT, MI"
PROVVIDENCE,"PROVIDENCE, RI"
NEW YORKLEROY-NY,"NEW YORKLEROY, NY"
DELANGE,DELANGE
IRON-MOUNTAIN,IRON-MOUNTAIN
MAFIELD,MAFIELD
PENNSYLVANIA,PENNSYLVANIA
LAURENCE MA,"LAURENCE, MA"
FL,FL
TRINIDAD-CO,"TRINIDAD, CO"
NEWARK NJ,"NEWARK, NJ"
SYRACUSE NY,"SYRACUSE, NY"
PHILADELPHIA PA.,"PHILADELPHIA, PA"
JERSEY CITY,"JERSEY CITY, NJ"
S.LOUIS,"ST. LOUIS, MO"
ROCK GLEN WY,"ROCK GLEN, WY"
ST.LOUIS,"ST. LOUIS, MO"
NEW-HAVEN,"NEW HAVEN, CT"
ERIE,ERIE
SIRACUSA NY,"SYRACUSE, NY"
JEFFERSON,JEFFERSON
"BROOKLYN, NY","BROOKLYN, NY"
MIDDLETOWN-CT,"MIDDLETOWN, CT"
HARTFORD CT,"HARTFORD, CT"
SAN FRANCISCO CA,"SAN FRANCISCO, CA"
HOBOKEN NJ,"HOBOKEN, NJ"
OREGON,OREGON
W.HOBOKEN NJ,"W. HOBOKEN, NJ"
BROOKLYN-NY,"BROOKLYN, NY"
LEROY,LEROY
BALTIMORE MD,"BALTIMORE, MD"
CHARLESTON,"CHARLESTON, SC"
PLYMONTH MA,"PLYMONTH, MA"
NW YORK,NEW YORK
NORRISTOWN PA,"NORRISTOWN, PA"
LONDON,LONDON
ATLANTIC CITY NJ,"ATLANTIC CITY, NJ"
SIRACUSA,SIRACUSA
ALBANY-NY,"ALBANY, NY"
JOHNSTOWN,JOHNSTOWN
TACOMA WA,"TACOMA, WA"
NEW BRITAIN CT,"NEW BRITAIN, CT"
PATTERSON,PATTERSON
OH,OH
CORNIGAN,CORNIGAN
BEGGIO,BEGGIO
READING,READING
"MIDDLETON, CT","MIDDLETON, CT"
OHIO,OHIO
KANSAS CITY,KANSAS CITY
NEW-JERSEY,NEW JERSEY
DENVER COL.,"DENVER, CO"
N.ORLEANS-LA,"NEW ORLEANS, LA"
"BALTIMORE, MD","BALTIMORE, MD"
RICHMOND,RICHMOND
LOUISVILLE,"LOUISVILLE, KY"
ELISABETH NJ,"ELISABETH, NJ"
ELIZABETH,ELIZABETH
DETROIT,"DETROIT, MI"
KANSAS-CITY,KANSAS CITY
