,DestRaw,Dest,geocoder_results,bbox,latlong
0,NEW YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
1,NEW-ORLEANS-LA,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","{'northeast': [30.199332, -89.625053], 'southwest': [29.8666609, -90.14007389999999]}","[29.95106579999999, -90.0715323]"
2,NEW-ORLEANS,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","{'northeast': [30.199332, -89.625053], 'southwest': [29.8666609, -90.14007389999999]}","[29.95106579999999, -90.0715323]"
3,USA,USA,<[OK] Google - Geocode [United States]>,"{'northeast': [49.38, -66.94], 'southwest': [25.82, -124.39]}","[37.09024, -95.712891]"
4,PHILADELPHIA,"PHILADELPHIA, PA","<[OK] Google - Geocode [Philadelphia, PA, USA]>","{'northeast': [40.1379919, -74.9557629], 'southwest': [39.8670041, -75.2802937]}","[39.9525839, -75.1652215]"
5,BOSTON,"BOSTON, MA","<[OK] Google - Geocode [Boston, MA, USA]>","{'northeast': [42.40081989999999, -70.749455], 'southwest': [42.22788, -71.191113]}","[42.3600825, -71.0588801]"
6,CHICAGO,"CHICAGO, IL","<[OK] Google - Geocode [Chicago, IL, USA]>","{'northeast': [42.023131, -87.52366099999999], 'southwest': [41.6443349, -87.9402669]}","[41.8781136, -87.6297982]"
7,KANSAS,KANSAS,"<[OK] Google - Geocode [Kansas, USA]>","{'northeast': [40.0045419, -94.588387], 'southwest': [36.9930159, -102.0517688]}","[39.011902, -98.4842465]"
8,NEW ORLEANS,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","{'northeast': [30.199332, -89.625053], 'southwest': [29.8666609, -90.14007389999999]}","[29.95106579999999, -90.0715323]"
9,TEXAS,TEXAS,"<[OK] Google - Geocode [Texas, USA]>","{'northeast': [36.5007041, -93.5080389], 'southwest': [25.8371638, -106.6456461]}","[31.9685988, -99.9018131]"
