Manifest Identification Number,Ship Name,Port of Departure (Embarkation),Date of Arrival
903374,CITY OF WASHINGTON,UNKNOWN,12/30/1869
83133,SPARTAN PRINCE,UNKNOWN,12/26/1898
800512,ANNA L. TAYLOR,UNKNOWN,12/26/1882
80459,ARCHIMEDE,PALERMO,12/21/1883
82000,BOLIVIA,"MESSINA, NAPLES & PALERMO",12/15/1891
46409,IMOGENA,UNKNOWN,12/15/1847
800935,MONTREAL,UNKNOWN,12/14/1885
80119,ITALIA,"CADIZ, MALAGA,  MARSEILLES, NAPLES & PALERMO",12/14/1880
9027043,REBECCA CROMELL,PALERMO,12/14/1874
80939,POLCEVERA,PALERMO,12/13/1886
800683,SOMERSET,UNKNOWN,12/13/1883
478,INIZIATIVA,PALERMO,12/12/1892
13623,RIO GRANDE,UNKNOWN,12/11/1850
79016,AUGUSTA VICTORIA,UNKNOWN,12/09/1895
11003,PRINZ GEORG,PALERMO,12/09/1883
11036,VINCENZO FLORIO,PALERMO,12/09/1881
15079,U,UNKNOWN,12/08/1852
80600,INDIPENDENTE,NAPLES & PALERMO,12/06/1884
83132,ALESIA,UNKNOWN,12/04/1898
108,LETIMBRO,PALERMO,12/03/1888
45568,SILVIE DE GRASSE,UNKNOWN,12/03/1844
80447,VINCENZO FLORIO,PALERMO,11/30/1883
800494,BERMUDA,UNKNOWN,11/28/1882
81956,ENTELLA,PALERMO,11/27/1891
80750,GOTTARDO,PALERMO,11/27/1885
800675,DORSET,UNKNOWN,11/27/1883
81721,DEVONIA,"FIUME, GIBRALTAR, NAPLES & PALERMO",11/26/1890
476,MONTEBELLO,PALERMO,11/22/1895
800138,GLOUCESTER,UNKNOWN,11/22/1880
81461,CALIFORNIA,"FIUME, GIBRALTAR, NAPLES & PALERMO",11/20/1889
81460,ENTELLA,PALERMO,11/20/1889
800671,WARWICK,UNKNOWN,11/19/1883
83129,ALSATIA,UNKNOWN,11/18/1898
18140,COPERNICUS,UNKNOWN,11/18/1852
83127,FULDA,UNKNOWN,11/10/1898
80449,OLYMPIA,PALERMO,11/09/1883
80451,WASHINGTON,PALERMO,11/09/1883
81450,INIZIATIVA,PALERMO,11/08/1889
83126,TROJAN PRINCE,UNKNOWN,11/06/1898
