,origin_city,origin_country
0,SCIACCA,ITALY
1,PALERMO,ITALY
2,MESSINA,ITALY
3,POGGIOREALE,ITALY
4,SALAPARUTA,ITALY
5,CACCAMO,ITALY
6,USTICA,ITALY
7,MENFI,ITALY
8,ALIA,ITALY
9,CORLEONE,ITALY
10,GODRANO,ITALY
11,ROCCAMENA,ITALY
12,BISACQUINO,ITALY
13,CIMINNA,ITALY
14,NICOSIA,ITALY
15,MEZZOJUSO,ITALY
16,PARTANNA,ITALY
17,VICARI,ITALY
18,TRABIA,ITALY
19,CINISI,ITALY
20,PRIZZI,ITALY
21,ROCCAPALUMBA,ITALY
22,GIBELLINA,ITALY
23,GIULIANA,ITALY
24,MILAZZO,ITALY
25,MARINEO,ITALY
26,LIPARI,ITALY
27,TRAPANI,ITALY
28,SCIARA,ITALY
29,ARAGONA,ITALY
30,ALCAMO,ITALY
31,PALAZZO ADRIANO,ITALY
32,RIPOSTO,ITALY
33,SCILLATO,ITALY
34,CATANIA,ITALY
35,CASTELVETRANO,ITALY
36,MISILMERI,ITALY
37,CASTELBUONO,ITALY
38,SANTA NINFA,ITALY
39,VILLALBA,ITALY
40,GERACI SICULO,ITALY
41,LERCARA FRIDDI,ITALY
42,TUSA,ITALY
43,PARTINICO,ITALY
44,CALTANISSETTA,ITALY
45,MONTEVAGO,ITALY
46,PETRALIA SOPRANA,ITALY
47,GANGI,ITALY
48,CERDA,ITALY
49,ALIMENA,ITALY
50,VILLAROSA,ITALY
51,MARIANOPOLI,ITALY
52,LASCARI,ITALY
53,CAMPOREALE,ITALY
54,LICATA,ITALY
55,BOMPIETRO,ITALY
56,AUGUSTA,ITALY
57,CALTABELLOTTA,ITALY
58,VALLEDOLMO,ITALY
59,PATTI,ITALY
60,BAGHERIA,ITALY
61,GRATTERI,ITALY
62,SIRACUSA,ITALY
63,VILLAFRATI,ITALY
64,CASTELDACCIA,ITALY
65,MONREALE,ITALY
66,ALIMINUSA,ITALY
67,BAUCINA,ITALY
68,CAMPOBELLO DI MAZARA,ITALY
69,ISNELLO,ITALY
70,TERRASINI,ITALY
71,VITTORIA,ITALY
72,BRONTE,ITALY
73,CALTAVUTURO,ITALY
74,FAVIGNANA,ITALY
75,LINGUAGLOSSA,ITALY
76,MARSALA,ITALY
77,MONTEDORO,ITALY
78,CAMPOFIORITO,ITALY
79,SERRADIFALCO,ITALY
80,COLLESANO,ITALY
81,POLIZZI GENEROSA,ITALY
82,SAPONARA,ITALY
83,AGIRA,ITALY
84,CARONIA,ITALY
85,FURNARI,ITALY
86,TROINA,ITALY
87,SANTA FLAVIA,ITALY
88,PORTO EMPEDOCLE,ITALY
89,SAN BIAGIO PLATANI,ITALY
90,BELMONTE MEZZAGNO,ITALY
91,SPADAFORA,ITALY
92,TRIPI,ITALY
93,CALASCIBETTA,ITALY
94,BIVONA,ITALY
95,BOLOGNETTA,ITALY
96,MOTTA D'AFFERMO,ITALY
97,CALATABIANO,ITALY
98,MELILLI,ITALY
99,CERAMI,ITALY
100,PACE DEL MELA,ITALY
101,RIBERA,ITALY
102,OLIVERI,ITALY
103,BURGIO,ITALY
104,PETRALIA SOTTANA,ITALY
105,SPERLINGA,ITALY
106,VENETICO,ITALY
107,ROCCAVALDINA,ITALY
108,MIRTO,ITALY
109,ROMETTA,ITALY
110,SAN PIER NICETO,ITALY
111,TAORMINA,ITALY
112,CASTEL DI LUCIO,ITALY
113,SALEMI,ITALY
114,REITANO,ITALY
